"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"0798","福岡東公共職業安定所","40120-385259","いすゞ自動車九州株式会社","福岡県福岡市東区東浜１丁目１０－８５","1億円",1334,260,14,"福岡県",\197700,"あり",20,"その他",112,"販売・小売・スーパー","自動車小売業","事務職"
"0799","鹿児島公共職業安定所","46010-172759","株式会社新栄ビルサービス","鹿児島県鹿児島市犬迫町４０１１","1,000万円",62,2,2,"鹿児島県",\202800,"あり",,"その他",105,"その他の分野","建物等維持管理業","クリーニングエキスパートスタッフ"
"0800","鹿児島公共職業安定所","46010-173659","株式会社新栄ビルサービス","鹿児島県鹿児島市犬迫町４０１１","1,000万円",62,2,2,"鹿児島県",\175888,"あり",,"その他",105,"その他の分野","建物等維持管理業","クリーニングスタッフ"
"0801","国分公共職業安定所","46040-202859","株式会社堀之内建設","鹿児島県霧島市牧園町高千穂3864",,22,18,4,"鹿児島県",\194900,"あり",10,"毎週",110,"建築・設備","一般土木建築工事業","建築・土木・住宅関係で設計や施工・管理を する仕事"
"0802","国分公共職業安定所","46040-83959","吉村工業株式会社","鹿児島県霧島市霧島田口１５","2,000万円",16,16,2,"鹿児島県",\184000,"あり",5,"毎週",106,"建築・設備","一般土木建築工事業","土木施工管理技術者、または土木作業員"
"0803","都城公共職業安定所","45040-127159","上原ファーム株式会社","宮崎県都城市山之口町富吉６６３０",,78,61,2,"宮崎県",\195000,"あり",10,"その他",105,"その他の分野","畜産農業","養豚場飼育管理スタッフ"
"0804","都城公共職業安定所","45040-162759","株式会社栄進電工","宮崎県都城市郡元町３３３９番地２","2,000万円",18,15,1,"宮崎県",\185000,"あり",12,"毎週",118,"建築・設備","電気工事業","計装系技術者"
"0805","都城公共職業安定所","45040-161459","株式会社栄進電工","宮崎県都城市郡元町３３３９番地２","2,000万円",18,15,1,"宮崎県",\185000,"あり",12,"毎週",118,"建築・設備","電気工事業","電気工事士"
"0806","都城公共職業安定所","45040-8459","株式会社エビス商事食肉加工販売部","宮崎県都城市豊満町９８０－１","1,800万円",176,160,5,"宮崎県",\168080,"あり",15,"毎週",112,"製造分野","畜産食料品製造業","食肉加工"
"0807","都城公共職業安定所","45040-236959","医療法人三省会倉内整形外科病院","宮崎県都城市上町１６街区６号","500万円",78,78,2,"宮崎県",\120000,"あり",1,"その他",113,"医療・福祉","病院","看護学生"
