"独自番号","安定所名","求人番号","事_業_所","所_在_地","資本金","全社員数","就業場所人数","求人数","就業場所","月額賃金","賞与","時間外平均","週休２日制","年間休日数","業種8種","産業分類","職種"
"2428","品川公共職業安定所","13040-1687659","DM三井製糖株式会社","東京都港区芝5丁目26番16号","70億8,300万円",489,67,1,"兵庫県",\199600,"あり",13,"その他",96,"製造分野","砂糖・でんぷん糖類製造業","砂糖の製造(砂糖製造設備のオペレーション 及び保守保全等)※神戸工場配属"
"2429","品川公共職業安定所","13040-253059","帝産観光バス株式会社東京支店","東京都品川区東品川４－１０－２３","1億円",515,135,8,"東京都",\214277,"あり",28,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"2430","品川公共職業安定所","13040-254359","帝産観光バス株式会社東京支店","東京都品川区東品川４－１０－２３","1億円",515,135,7,"東京都",\200000,"あり",30,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2431","春日井公共職業安定所","23170-58759","帝産観光バス株式会社名古屋支店","愛知県小牧市三ッ渕１６６４－１","1億円",515,57,3,"愛知県",\207781,"あり",28,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド添乗員"
"2432","春日井公共職業安定所","23170-57459","帝産観光バス株式会社名古屋支店","愛知県小牧市三ッ渕１６６４－１","1億円",515,57,1,"愛知県",\200000,"あり",30,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2433","阿倍野公共職業安定所","27040-10559","帝産観光バス株式会社大阪支店","大阪府大阪市住之江区新北島５－１－６９","1億円",515,73,10,"大阪府",\209319,"あり",28,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"2434","阿倍野公共職業安定所","27040-12759","帝産観光バス株式会社大阪支店","大阪府大阪市住之江区新北島５－１－６９","1億円",515,73,5,"大阪府",\200000,"あり",30,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2435","阿倍野公共職業安定所","27040-11459","帝産観光バス株式会社大阪支店","大阪府大阪市住之江区新北島５－１－６９","1億円",515,73,2,"大阪府",\200000,"あり",30,"毎週",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","大型バス整備士"
"2436","京都七条公共職業安定所","26020-37259","帝産観光バス株式会社京都支店","京都府長岡京市神足堂ケ園１－１","1億円",515,130,10,"京都府",\209801,"あり",28,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"2437","京都七条公共職業安定所","26020-36159","帝産観光バス株式会社京都支店","京都府長岡京市神足堂ケ園１－１","1億円",515,130,5,"京都府",\200000,"あり",40,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2438","明石公共職業安定所","28080-188559","帝産観光バス株式会社神戸支店","兵庫県神戸市西区玉津町田中南大山５１１","1億円",515,68,8,"兵庫県",\209312,"あり",28,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"2439","明石公共職業安定所","28080-193059","帝産観光バス株式会社神戸支店","兵庫県神戸市西区玉津町田中南大山５１１","1億円",515,68,10,"兵庫県",\200000,"あり",40,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2440","奈良公共職業安定所","29010-187159","帝産観光バス株式会社奈良支店","奈良県天理市西長柄町４９２－３","1億円",515,39,2,"奈良県",\200000,"あり",30,"その他",120,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バス運転士"
"2441","品川公共職業安定所","13040-805859","株式会社ディックソリューションエンジニアリング","東京都港区浜松町1-29-6浜松町セントラルビル2F",,561,426,15,"",\223000,"あり",17,"毎週",124,"その他の分野","その他の技術サービス業","エレクトロニクスエンジニア「電気系」 システムエンジニアIT系"
"2442","池袋公共職業安定所","13090-501459","株式会社テックス","東京都豊島区東池袋５－４０－９　サンユースビル３階","1,000万円",157,15,20,"都内近",\262800,"なし",30,"その他",107,"その他の分野","警備業","警備部（イベント警備隊）"
"2443","池袋公共職業安定所","13090-516159","株式会社テックス","東京都豊島区東池袋５－４０－９　サンユースビル３階","1,000万円",157,21,10,"",\250000,"なし",30,"その他",107,"その他の分野","警備業","警備部（施設警備隊）"
"2444","大森公共職業安定所","13060-89259","寺岡オートドア株式会社","東京都大田区千鳥3丁目19-3","3,000万円",112,23,4,"福岡県",\260000,"あり",18,"毎週",125,"販売・小売・スーパー","産業機械器具卸売業","総合職(工務職・営業職)/九州支店配属 自動ドアのセールスエンジニア"
"2445","品川公共職業安定所","13040-1033659","寺岡オート・ドアシステム株式会社","東京都品川区西五反田３－６－２１
住友不動産西五反田ビル","4,000万円",279,81,10,"",\210000,"あり",70,"毎週",123,"建築・設備","その他の職別工事業","技術職"
"2446","渋谷公共職業安定所","13070-195159","東急バス株式会社","東京都目黒区東山３－８－１","1億円",2443,190,20,"東京都",\218500,"あり",37,"毎週",104,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス運転士／運行管理補助業務"
"2447","渋谷公共職業安定所","13070-196259","東急バス株式会社","東京都目黒区東山３－８－１","1億円",2443,190,10,"東京都",\218500,"あり",24,"毎週",104,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス整備士"
"2448","飯田橋公共職業安定所","13010-1669259","株式会社東京躯体","東京都中央区日本橋富沢町2-17TK日本橋ビル","3,000万円",153,153,10,"東京都",\231000,"あり",10,"毎週",120,"建築・設備","とび・土工・コンクリート工事業","技術職(鳶・土工事・コンクリート打設・外 構工事)"
"2449","上野公共職業安定所","13030-412459","東京地下鉄株式会社（東京メトロ）","東京都台東区東上野３丁目１９－６","581億円",10578,9551,25,"東京都",\230800,"あり",20,"その他",122,"運輸・倉庫・インフラ","鉄道業","運輸職種（駅・車掌・運転士）"
"2450","上野公共職業安定所","13030-413759","東京地下鉄株式会社（東京メトロ）","東京都台東区東上野３丁目１９－６","581億円",10578,9551,15,"東京都",\230800,"あり",20,"その他",122,"運輸・倉庫・インフラ","鉄道業","車両職種"
"2451","上野公共職業安定所","13030-414659","東京地下鉄株式会社（東京メトロ）","東京都台東区東上野３丁目１９－６","581億円",10578,9551,13,"東京都",\230800,"あり",20,"その他",122,"運輸・倉庫・インフラ","鉄道業","電気職種"
"2452","上野公共職業安定所","13030-415959","東京地下鉄株式会社（東京メトロ）","東京都台東区東上野３丁目１９－６","581億円",10578,9551,15,"東京都",\230800,"あり",20,"その他",122,"運輸・倉庫・インフラ","鉄道業","土木職種"
"2453","新宿公共職業安定所","13080-1284659","株式会社東京電気商会","東京都杉並区阿佐谷北３丁目４０－１３","1,000万円",22,22,5,"東京都",\200000,"あり",15,"その他",130,"建築・設備","その他の設備工事業","電気工"
"2454","飯田橋公共職業安定所","13010-216259","東京電力ホールディングス株式会社","東京都千代田区内幸町1-1-3","1兆4,009億円",7878,7878,7,"",\213100,"なし",10,"毎週",123,"建築・設備","電気業","事務職/東京"
"2455","飯田橋公共職業安定所","13010-210659","東京電力ホールディングス株式会社","東京都千代田区内幸町1-1-3","1兆4,009億円",7878,60,2,"",\213100,"なし",19,"毎週",123,"建築・設備","電気業","事務職/青森"
"2456","飯田橋公共職業安定所","13010-212859","東京電力ホールディングス株式会社","東京都千代田区内幸町1-1-3","1兆4,009億円",7878,60,15,"青森県",\213100,"なし",19,"毎週",123,"建築・設備","電気業","原子力技術職/青森"
"2457","飯田橋公共職業安定所","13010-215159","東京電力ホールディングス株式会社","東京都千代田区内幸町１－１－３","1兆4,009億円",7878,7878,2,"新潟県",\213100,"なし",19,"毎週",123,"建築・設備","電気業","建築業務"
"2458","柏崎公共職業安定所","15050-13359","東京電力ホールディングス株式会社
柏崎刈羽原子力発電所","新潟県柏崎市青山町１６－４６","1兆4,009億円",7878,1200,3,"",\213100,"なし",19,"毎週",123,"建築・設備","電気業","事務職／新潟"
"2459","柏崎公共職業安定所","15050-12059","東京電力ホールディングス株式会社
柏崎刈羽原子力発電所","新潟県柏崎市青山町１６－４６","1兆4,009億円",7878,1200,20,"",\213100,"なし",19,"毎週",123,"建築・設備","電気業","原子力技術職／新潟"
"2460","飯田橋公共職業安定所","13010-214359","東京電力ホールディングス株式会社","東京都千代田区内幸町１－１－３","1兆4,009億円",7878,7878,5,"福島県",\213100,"なし",19,"毎週",123,"建築・設備","電気業","土木業務"
"2461","飯田橋公共職業安定所","13010-213059","東京電力ホールディングス株式会社","東京都千代田区内幸町1-1-3","1兆4,009億円",7878,1539,8,"",\213100,"なし",19,"毎週",123,"建築・設備","電気業","事務職1福島"
"2462","飯田橋公共職業安定所","13010-211959","東京電力ホールディングス株式会社","東京都千代田区内幸町1-1-3","1兆4,009億円",7878,1539,18,"",\213100,"なし",19,"毎週",123,"建築・設備","電気業","原子力技術職1福島"
"2463","飯田橋公共職業安定所","13010-302359","東京電力パワーグリッド株式会社","東京都千代田区内幸町１－１－３","800億円",15862,15767,5,"",\213100,"なし",20,"毎週",123,"建築・設備","電気業","土木業務"
"2464","飯田橋公共職業安定所","13010-303159","東京電力パワーグリッド株式会社","東京都千代田区内幸町1-1-3","800億円",15862,15767,164,"",\213100,"なし",20,"毎週",123,"建築・設備","電気業","技術職・事務職※電力流通業務"
"2465","飯田橋公共職業安定所","13010-301059","東京電力パワーグリッド株式会社","東京都千代田区内幸町１－１－３","800億円",15862,95,2,"",\213100,"なし",20,"毎週",123,"建築・設備","電気業","島嶼部電力流通業務"
"2466","飯田橋公共職業安定所","13010-304259","東京電力パワーグリッド株式会社","東京都千代田区内幸町１－１－３","800億円",15862,15767,2,"栃木県",\213100,"なし",20,"毎週",123,"建築・設備","電気業","建築業務"
"2467","飯田橋公共職業安定所","13010-307759","東京電力リニューアブルパワー株式会社","東京都千代田区内幸町２－２－３　日比谷国際ビル１２階","10億円",1299,1299,15,"新潟県",\213100,"なし",20,"毎週",123,"建築・設備","電気業","水力発電・風力発電業務"
"2468","飯田橋公共職業安定所","13010-306459","東京電力リニューアブルパワー株式会社","東京都千代田区内幸町２－２－３　日比谷国際ビル１２階","10億円",1299,1299,4,"",\213100,"なし",20,"毎週",123,"建築・設備","電気業","水力・風力発電に関わる事務的業務"
"2469","飯田橋公共職業安定所","13010-308659","東京電力リニューアブルパワー株式会社","東京都千代田区内幸町２－２－３　日比谷国際ビル１２階","10億円",1299,1299,6,"新潟県",\213100,"なし",20,"毎週",123,"建築・設備","電気業","水力発電所に係る土木設備の保守・管理業務"
"2470","新宿公共職業安定所","13080-107559","東京ビジネスサービス株式会社","東京都新宿区西新宿6-14-1新宿グリーンタワービル9F",,3975,264,50,"東京都",\212000,"あり",10,"その他",108,"その他の分野","建物等維持管理業","設備メンテナンスエンジニア"
"2471","王子公共職業安定所","13100-48059","東京ヤサカ観光バス株式会社","東京都北区豊島４－１－１","7,000万円",175,95,12,"東京都",\214000,"あり",23,"その他",105,"運輸・倉庫・インフラ","一般貸切旅客自動車運送業","観光バスガイド"
"2472","池袋公共職業安定所","13090-772959","東光送電工事株式会社","東京都豊島区上池袋４－４５－３","2,000万円",82,35,4,"埼玉県",\262000,"あり",3,"その他",105,"建築・設備","電気工事業","技術社員（送電線工事）"
"2473","池袋公共職業安定所","13090-801759","東光送電工事株式会社","東京都豊島区上池袋４－４５－３","2,000万円",82,10,4,"宮城県",\262000,"あり",3,"その他",105,"建築・設備","電気工事業","技術社員（送電線工事）"
"2474","池袋公共職業安定所","13090-741359","東光送電工事株式会社","東京都豊島区上池袋4-45-3","2,000万円",82,10,4,"東京都",\220000,"あり",4,"その他",105,"建築・設備","電気工事業","技術社員(電気工事)/東京都豊島区 建設現場で電灯設置などの電気工事"
"2475","飯田橋公共職業安定所","13010-2687059","東光電気工事株式会社","東京都千代田区西神田一丁目4番5号",,1385,63,2,"福岡県",\236200,"あり",21,"毎週",126,"建築・設備","電気工事業","施工管理(送電線部門)/九州"
"2476","鰍沢公共職業安定所","19050-34059","東タイ株式会社富士川工場","山梨県南巨摩郡南部町万沢４６１７","3億8,210万円",289,110,4,"山梨県",\214000,"あり",20,"毎週",122,"製造分野","印刷業","技能職"
"2477","池袋公共職業安定所","13090-813359","株式会社東都自動車民間車検場","東京都豊島区西池袋５－１３－１３","5,000万円",87,27,20,"東都自",\202000,"あり",,"その他",103,"その他の分野","自動車整備業","自動車整備"
"2478","品川公共職業安定所","13040-1100159","株式会社東配工","東京都港区芝浦4-9-34会社案内会社HPアニメ動画1回流回黒葉県","9,860万円",275,25,10,"東京都",\217000,"あり",30,"毎週",125,"建築・設備","電気工事業","技術職(東京) 1"
"2479","品川公共職業安定所","13040-1097159","株式会社東配工","東京都港区芝浦４－９－３４","9,860万円",275,25,5,"東京都",\217000,"あり",15,"毎週",125,"建築・設備","電気工事業","事務職（工事事務・東京）"
"2480","春日部公共職業安定所","11080-34059","東武インターテック株式会社","埼玉県久喜市北広島１３２３－３","2,500万円",196,63,10,"",\219000,"あり",10,"その他",104,"運輸・倉庫・インフラ","管理，補助的経済活動を行う事業所（４２鉄道業）","鉄道車両のメンテナンス業務"
"2481","墨田公共職業安定所","13120-187759","東武エンジニアリング株式会社","東京都墨田区押上２－１８－１２","2,500万円",264,264,20,"東京都",\219000,"あり",19,"その他",104,"運輸・倉庫・インフラ","鉄道業","鉄道施設・設備の保守・検査"
"2482","墨田公共職業安定所","13120-216959","東武ステーションサービス株式会社","東京都墨田区押上2-18-12","2,500万円",763,763,25,"東京都",\219000,"あり",15,"その他",104,"運輸・倉庫・インフラ","鉄道業","駅業務・駅構内営業の運営管理業務 (乗務員候補)"
"2483","品川公共職業安定所","13040-1978659","東洋メビウス株式会社","東京都品川区西五反田3-7-10アーバンネット五反田NNビル5F","9,500万円",750,82,1,"東京都",\206000,"あり",27,"毎週",120,"運輸・倉庫・インフラ","一般貨物自動車運送業","物流関連事務業務全般/東京都品川区 (請求支払業務)"
"2484","品川公共職業安定所","13040-1979959","東洋メビウス株式会社","東京都品川区西五反田3-7-10アーバンネット五反田NNビル5F","9,500万円",750,82,1,"東京都",\206000,"あり",27,"毎週",120,"運輸・倉庫・インフラ","一般貨物自動車運送業","物流関連事務業務全般/東京都品川区 (配車業務)"
"2485","品川公共職業安定所","13040-1983559","東洋メビウス株式会社","東京都品川区西五反田3-7-10アーバンネット五反田NNビル5F","9,500万円",750,82,1,"東京都",\206000,"あり",27,"毎週",120,"運輸・倉庫・インフラ","一般貨物自動車運送業","物流関連事務業務全般/東京都品川区 (品質管理業務)"
"2486","品川公共職業安定所","13040-2223359","東洋メビウス株式会社","東京都品川区西五反田３－７－１０
アーバンネット五反田ＮＮビル５Ｆ","9,500万円",750,22,2,"佐賀県",\196000,"あり",20,"その他",120,"運輸・倉庫・インフラ","一般貨物自動車運送業","物流関連業務全般／基山町"
"2487","品川公共職業安定所","13040-310559","株式会社どき","東京都港区港南5-1-27","8,800万円",52,52,5,"東京都",\225000,"あり",3,"毎週",125,"建築・設備","土木工事業（舗装工事業を除く）","技能者(河川港湾土木工事の鳶工、船長、 オペレーター)"
"2488","足立公共職業安定所","13110-31859","株式会社トーテック","東京都足立区梅島2丁目10-15","6,572万円",236,46,5,"東京都",\230000,"あり",22,"毎週",127,"建築・設備","電気工事業","電気工事士(東京電力PGの架空配電線工事 ・KDDIの通信工事)"
"2489","足立公共職業安定所","13110-19159","有限会社TOTOSA","東京都荒川区東日暮里1丁目8-1偕楽ビル1階","805万円",26,11,4,"東京都",\210000,"あり",3,"その他",105,"その他の分野","事務用機械器具賃貸業","美容師(アシスタントスタイリスト)"
"2490","木場公共職業安定所","13130-1835959","株式会社トラジ","東京都江東区辰巳３丁目７－２６　サンイースト辰巳８階","9,171万円",1438,35,15,"東京都",\205000,"あり",26,"その他",109,"製造分野","専門料理店","接客（ホール業務）"
"2491","木場公共職業安定所","13130-1836859","株式会社トラジ","東京都江東区辰巳３丁目７－２６　サンイースト辰巳８階","9,171万円",1438,35,15,"東京都",\205000,"あり",26,"その他",109,"飲食・宿泊","専門料理店","調理（キッチン業務）"
"2492","渋谷公共職業安定所","13070-592959","二幸建設株式会社","東京都目黒区南１－２－１２","3,200万円",100,70,5,"神奈川県",\260700,"あり",10,"その他",110,"建築・設備","土木工事業（舗装工事業を除く）","作業スタッフ（現場責任者候補）"
"2493","八王子公共職業安定所","13140-175859","西東京バス株式会社","東京都八王子市明神町３－１－７　ＮＴＢ八王子ビル３Ｆ","1億円",835,285,20,"東京都",\213100,"あり",25,"その他",105,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","バス運転士候補生"
"2494","八王子公共職業安定所","13140-172759","西東京バス株式会社","東京都八王子市明神町３－１－７　ＮＴＢ八王子ビル３Ｆ","1億円",835,285,6,"東京都",\213100,"あり",25,"毎週",105,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","整備士"
"2495","八王子公共職業安定所","13140-174959","西東京バス株式会社","東京都八王子市明神町３－１－７　ＮＴＢ八王子ビル３Ｆ","1億円",835,285,4,"東京都",\223100,"あり",25,"その他",105,"運輸・倉庫・インフラ","一般乗合旅客自動車運送業","運行管理専門員"
"2496","渋谷公共職業安定所","13070-553359","ニッタン株式会社","東京都渋谷区笹塚1-54-5","23億250万円",1222,1218,5,"東京都",\206500,"あり",20,"毎週",125,"建築・設備","電気工事業","消防設備(自動火災報知設備または消火装置 )の取付作業および施工管理"
"2497","渋谷公共職業安定所","13070-551859","ニッタン株式会社","東京都渋谷区笹塚1-54-5","23億250万円",1222,113,2,"埼玉県",\194500,"あり",20,"毎週",125,"建築・設備","電気工事業","消防設備(自動火災報知設備または消火設備 )の製造"
"2498","渋谷公共職業安定所","13070-552059","ニッタン株式会社","東京都渋谷区笹塚1-54-5","23億250万円",1222,90,2,"兵庫県",\194500,"あり",20,"毎週",125,"建築・設備","電気工事業","消防設備(自動火災報知設備または消火設備 )の製造"
"2499","木更津公共職業安定所","12050-411759","日鉄環境株式会社東日本支店君津地区","千葉県木更津市築地１番地１","5億円",1459,636,10,"千葉県",\219870,"あり",18,"その他",122,"その他の分野","他に分類されない事業サービス業","技術スタッフ"
"2500","渋谷公共職業安定所","13070-429759","日本瓦斯株式会社（ニチガス）","東京都渋谷区代々木４丁目３１番８号","70億7,000万円",1158,184,10,"東京都",\230000,"あり",21,"その他",117,"建築・設備","ガス業","配送員（在籍出向）"
"2501","渋谷公共職業安定所","13070-430859","日本瓦斯株式会社（ニチガス）","東京都渋谷区代々木４丁目３１番８号","70億7,000万円",1158,385,5,"東京都",\203000,"あり",21,"毎週",121,"建築・設備","ガス業","保安調査員（在籍出向）"
"2502","品川公共職業安定所","13040-2479659","株式会社日本アクア","東京都港区港南２－１６－２　太陽生命品川ビル２０階","19億300万円",612,30,10,"",\339300,"あり",20,"毎週",110,"販売・小売・スーパー","建築材料卸売業","ウレタン施工技術者"
"2503","飯田橋公共職業安定所","13010-1892659","日本建設工業株式会社","東京都中央区月島4-12-5","4億円",494,494,30,"東京都",\203000,"あり",20,"毎週",128,"建築・設備","建築工事業（木造建築工事業を除く）","施工管理職(工事計画~現場監督など)総合 職/全国"
"2504","鹿児島公共職業安定所","46010-583659","日本通運株式会社鹿児島支店","鹿児島県鹿児島市小川町27-1","701億7,500万円",34299,388,3,"",\197400,"あり",25,"その他",114,"運輸・倉庫・インフラ","一般貨物自動車運送業","技能職(志布志市・鹿屋市"
"2505","鹿児島公共職業安定所","46010-680659","日本通運株式会社鹿児島支店","鹿児島県鹿児島市小川町27-1","701億7,500万円",34299,388,1,"",\192400,"あり",25,"その他",114,"運輸・倉庫・インフラ","一般貨物自動車運送業","事務職「薩摩川内市"
"2506","鹿児島公共職業安定所","46010-681959","日本通運株式会社鹿児島支店","鹿児島県鹿児島市小川町27-1","701億7,500万円",34299,388,3,"",\192400,"あり",25,"その他",114,"運輸・倉庫・インフラ","一般貨物自動車運送業","事務職「鹿児島市"
"2507","鹿児島公共職業安定所","46010-682859","日本通運株式会社鹿児島支店","鹿児島県鹿児島市小川町27-1","701億7,500万円",34299,388,2,"",\197400,"あり",25,"その他",114,"運輸・倉庫・インフラ","一般貨物自動車運送業","技能職「鹿児島市"
"2508","鹿児島公共職業安定所","46010-683059","日本通運株式会社鹿児島支店","鹿児島県鹿児島市小川町27-1","701億7,500万円",34299,388,2,"",\197400,"あり",25,"その他",114,"運輸・倉庫・インフラ","一般貨物自動車運送業","技能職(薩摩川内市・出水市"
"2509","木場公共職業安定所","13130-2400059","日本郵便メンテナンス株式会社","東京都江東区新木場1-3-3","5,000万円",333,69,5,"東京都",\223560,"あり",7,"その他",120,"その他の分野","他に分類されないサービス業","電気系・機械系エンジニア(東京都>メンテ ナンス"
"2510","木場公共職業安定所","13130-2394459","日本郵便メンテナンス株式会社","東京都江東区新木場１－３－３","5,000万円",333,14,2,"東京都",\218990,"あり",11,"毎週",113,"その他の分野","他に分類されないサービス業","自動車整備＜東京都江東区＞"
"2511","木場公共職業安定所","13130-2398859","日本郵便メンテナンス株式会社","東京都江東区新木場1-3-3","5,000万円",333,32,2,"愛知県",\223560,"あり",14,"その他",120,"その他の分野","他に分類されないサービス業","(電気系-機械系)エンジニア<名古屋> メンテナンス"
"2512","木場公共職業安定所","13130-2396659","日本郵便メンテナンス株式会社","東京都江東区新木場1-3-3","5,000万円",333,54,3,"大阪府",\223560,"あり",8,"その他",120,"その他の分野","他に分類されないサービス業","電気系・機械系エンジニア<大阪市> メンテナンス"
"2513","飯田橋公共職業安定所","13010-616159","日本ロックエンジニアリング株式会社","東京都中央区日本橋小網町１８番８号","2,000万円",80,40,2,"栃木県",\273000,"あり",25,"毎週",115,"建築・設備","一般土木建築工事業","土木技術者、建設機械オペレーター／東日本"
"2514","飯田橋公共職業安定所","13010-621959","日本ロックエンジニアリング株式会社","東京都中央区日本橋小網町１８番８号","2,000万円",80,30,2,"静岡県",\273000,"あり",25,"毎週",115,"建築・設備","一般土木建築工事業","土木技術者、建設機械オペレーター／中部"
"2515","飯田橋公共職業安定所","13010-625159","日本ロックエンジニアリング株式会社","東京都中央区日本橋小網町１８番８号","2,000万円",80,10,2,"兵庫県",\273000,"あり",25,"毎週",115,"建築・設備","一般土木建築工事業","土木技術者、建設機械オペレーター／西日本"
"2516","墨田公共職業安定所","13120-472559","株式会社ネオクレスト","東京都葛飾区亀有4-33-19","2,300万円",47,34,6,"東京都",\180000,"あり",2,"その他",172,"建築・設備","鉄骨・鉄筋工事業","作業スタッフ(鉄筋工・鉄筋組立等):週休 3日"
"2517","墨田公共職業安定所","13120-471259","株式会社ネオクレスト","東京都葛飾区亀有４－３３－１９","2,300万円",47,34,6,"東京都",\230000,"あり",2,"その他",120,"建築・設備","鉄骨・鉄筋工事業","作業スタッフ（鉄筋工・鉄筋組立等）"
"2518","墨田公共職業安定所","13120-470159","株式会社ネオクレスト","東京都葛飾区亀有４－３３－１９","2,300万円",47,34,6,"東京都",\230000,"あり",2,"その他",120,"建築・設備","鉄骨・鉄筋工事業","検査員"
"2519","品川公共職業安定所","13040-1210659","株式会社野田岩","東京都港区東麻布１丁目５－４","1,000万円",97,97,6,"東京都",\228030,"あり",30,"毎週",105,"飲食・宿泊","専門料理店","うなぎ調理師見習"
"2520","品川公共職業安定所","13040-1215159","株式会社野田岩","東京都港区東麻布１丁目５－４","1,000万円",97,97,4,"東京都",\228030,"あり",30,"毎週",105,"飲食・宿泊","専門料理店","ホールスタッフ"
"2521","渋谷公共職業安定所","13070-721359","有限会社寿し処阿部","東京都渋谷区広尾５－１９－１７広尾ＧＴビル１階","800万円",75,9,10,"東京都",\260000,"あり",45,"毎週",105,"飲食・宿泊","すし店","寿司板前見習い"
"2522","立川公共職業安定所","13150-116459","畠山電設株式会社","東京都国立市中３－３－５１","1,000万円",40,30,10,"東京都",\280000,"あり",5,"毎週",124,"建築・設備","電気工事業","技能職"
"2523","新宿公共職業安定所","13080-1066059","有限会社ハナワークス","東京都新宿区西新宿６丁目２番３号","1,000万円",15,3,2,"東京都",\250000,"なし",16,"その他",96,"理美容・生活","美容業","美容師アシスタント"
"2524","新宿公共職業安定所","13080-1067359","有限会社ハナワークス","東京都新宿区西新宿６丁目２番３号","1,000万円",15,3,2,"東京都",\250000,"なし",16,"その他",96,"理美容・生活","美容業","理容師アシスタント"
"2525","木場公共職業安定所","13130-2127759","張替鉄筋工業株式会社","東京都江戸川区北小岩６丁目２０－４　１階","1,000万円",111,68,1,"東京都",\220000,"あり",10,"その他",98,"建築・設備","鉄骨・鉄筋工事業","一般事務"
"2526","木場公共職業安定所","13130-2125559","張替鉄筋工業株式会社","東京都江戸川区北小岩６丁目２０－４　１階","1,000万円",111,50,5,"都内、",\250000,"あり",5,"その他",98,"建築・設備","鉄骨・鉄筋工事業","建築鉄筋技術者"
"2527","木場公共職業安定所","13130-2126459","張替鉄筋工業株式会社","東京都江戸川区北小岩６丁目２０－４　１階","1,000万円",111,14,1,"東京都",\240000,"あり",5,"その他",98,"建築・設備","鉄骨・鉄筋工事業","建築鉄筋のＣＡＤによる配筋図面作成等"
"2528","千葉公共職業安定所","12010-309859","張替鉄筋工業株式会社八街支店","千葉県八街市吉倉６０９－１５","1,000万円",111,43,2,"千葉県",\220000,"あり",15,"その他",98,"建築・設備","鉄骨・鉄筋工事業","建築鉄筋加工製造"
"2529","千葉公共職業安定所","12010-443559","張替鉄筋工業株式会社八街支店","千葉県八街市吉倉６０９－１５","1,000万円",111,43,1,"千葉県",\220000,"あり",10,"その他",98,"建築・設備","鉄骨・鉄筋工事業","八街支店（加工場）での一般事務"
"2530","大森公共職業安定所","13060-439759","東京エアポートレストラン株式会社","東京都大田区羽田空港３－３－２","9億9,000万円",542,485,15,"東京都",\195000,"あり",10,"その他",112,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","調理職／羽田空港"
"2531","大森公共職業安定所","13060-438459","東京エアポートレストラン株式会社","東京都大田区羽田空港３－３－２","9億9,000万円",542,537,20,"東京都",\195000,"あり",10,"その他",112,"飲食・宿泊","食堂，レストラン（専門料理店を除く）","接客サービス職／羽田空港又は成田空港"
"2532","立川公共職業安定所","13150-81359","株式会社飯和建設","東京都昭島市緑町4丁目15番20号","5,000万円",22,15,3,"東京都",\235000,"あり",,"毎週",106,"建築・設備","土木工事業（舗装工事業を除く）","現場管理者(土木工事、橋梁、河川、上下水 道、造成等一般土木、舗装、ガス本管埋設)"
"2533","八王子公共職業安定所","13140-74559","株式会社光企画","東京都八王子市千人町２ー１６－３","1,000万円",28,22,5,"東京都",\250000,"なし",2,"なし",110,"建築・設備","塗装工事業","塗装・吹付け・防水職人"
"2534","池袋公共職業安定所","13090-504959","株式会社日立プラントコンストラクション","東京都豊島区東池袋三丁目1番3号ワールドインポートマートビル6階","30億円",1324,10,7,"千葉県",\212000,"あり",7,"毎週",126,"建築・設備","その他の設備工事業","施工技能員(現地管理監督者候補) ※求人数7人"
"2535","立川公共職業安定所","13150-238759","株式会社ピープル","東京都昭島市中神町1304-48","3,150万円",192,10,15,"東京都",\225450,"なし",,"その他",84,"理美容・生活","美容業","美容師アシスタント(ヘアースタイリストを 目指す)"
"2536","池袋公共職業安定所","13090-503659","株式会社ひまわりテクノ","東京都練馬区三原台１丁目１３－１４
三原台アールティーエス電子ビル２Ｆ","300万円",7,7,2,"東京都",\250000,"あり",,"毎週",125,"建築・設備","その他の設備工事業","住宅水回り設備取付工事"
"2537","飯田橋公共職業安定所","13010-477559","株式会社日山","東京都中央区日本橋人形町2-5-1","3,000万円",128,128,5,"東京都",\215000,"あり",26,"その他",105,"販売・小売・スーパー","農畜産物・水産物卸売業","店舗運営職 (精肉加工・販売・店舗管理)"
